,Title,Auction Type,Artist Name #1,Artist Name #2,Instagram Page,Instagram Page 2,Instagram Followers,Instagram Followers 2,Avg Likes,Avg Likes2,Spotify Monthly Listeners #1,Spotify Page #2,Spotify Monthly Listeners #2,SoundCloud Page,SoundCloud Followers,SoundCloud Page #2,SoundCloud Followers #2,YouTube Page,YouTube Subscribers,YouTube Total Views,Price,12 Month Royalties,,
50,Joyner Lucas & More — Performance Royalties,Music,Joyner Lucas,Token,joynerlucas,,2679805,,157407,nan,,,,Joyner Lucas,216730,Token,68832,https://www.youtube.com/user/tokenhiphop,,184254376,88000,12409,,
51,Songwriter Royalties: YoungBoy Never Broke Again,Music,YoungBoy Never Broke Again.,,,,,,nan,nan,,,,YoungBoy Never Broke Again.,1491359,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,45600,9614,,
52,Trey Songz Sound Recording Royalties,Music,Trey Songz,,treysongz,,12758129,,135311,nan,,,,Trey Songz,139046,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,83500,1047,,
53,Electronic House Music From Viceroy,Music,Viceroy,,,,,,nan,nan,,,,Viceroy,90522,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,8350,4114,,
54,"Performance Royalties: ""Guatemala"" by Swae Lee",Music,Swae Lee,,swaelee,,9387713,,146932,nan,,,,Swae Lee,52280,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,26400,10446,,
55,Country and Christian Rock: Danielle Bradbery & More,Music,Danielle Bradberry,Colton Dixon,daniellebradbery,coltondixonmusic,479675,257854,10121,6166,,,,,,Colton Dixon,2463,https://www.youtube.com/user/ColtonDixonMusic,,51288489,71500,5297,,
56,Blues & Rock Catalog: Joe Bonamassa and More,Music,Joe Bonamassa,Joanne Shaw Taylor,joebonamassa,joanneshawtaylor,767216,23639,10294,1002,,,,Joe Bonamassa,12406,Joanne Shaw Taylor,220,https://www.youtube.com/user/jstblues55,,3117455,33000,4964,,
57,Contemporary Christian: Ellie Holcomb + More,Music,Christian Rock,Ellie Holcombe,,ellieholcomb,,128791,nan,2567,,,,Christian Rock,117,,,https://www.youtube.com/user/ellieholcombmusic,,8821112,35000,19626,,
58,EDM/Pop Catalog — Artist Royalties,Music,Prince Fox,,princefox,,31238,,265,nan,,,,Prince Fox,74621,,,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,70000,2590,,
59,Trey Songz — Producer Royalties,Music,Trey Songz,,treysongz,,12758135,,135311,nan,,,,Trey Songz,139046,,,https://www.youtube.com/user/5o5aization,,56400,31000,32040,,
60,Sales Royalties: Listerine Mouthwash,Product,,,,,,,nan,nan,,,,,935,,,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,561000,9473,,
61,Royalties from New Kids On The Block + Akon,Income Contracts,New kids on the block,Crooner Akon,nkotb,,585133,,12903,nan,,,,New kids on the block,108699,,,https://www.youtube.com/user/TheSilverLakeChorus,,88338,49500,11186,,
62,10-Year Old Rock Catalog — Performance Royalties,Music,Sierra Kusterback,,sierrakay_,,261,,0,nan,,,,,,,,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,91200,15226,,
63,NBA YoungBoy's “Valuable Pain” — Publishing Royalties,Music,NBA YoungBoy,,,,,,nan,nan,,,,NBA YoungBoy,1491347,,,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,59500,2347,,
64,Hip-Hop: Rihanna Kanye West and Others,Music,Rihanna,Kanye West,badgalriri,kanyewest,99534115,5339939,4287973,391343,,,,Rihanna,1932650,Kanye West,1119097,https://www.youtube.com/user/kanyewest,,4521587562,22500,118850,,
65,Lovelytheband’s “Broken” — Songwriter Royalties,Music,lovelytheband ,,lovelytheband,,103784,,6596,nan,,,,lovelytheband,5139,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,275000,10372,,
66,NBA YoungBoy's “Valuable Pain” — Songwriter Royalties,Music,NBA YoungBoy,,,,,,nan,nan,,,,NBA YoungBoy,1491347,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,20500,5383,,
67,Hip-Hop Royalties Featuring City Girls,Music,City Girls ,,citygirls,,2258955,,57867,nan,,,,City Girls,116523,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,16200,14500,,
68,REO Speedwagon’s 10x Platinum “Hi Infidelity”,Music,reo speedwagon,,reospeedwagonofficial,,48193,,809,nan,,,,reo speedwagon,2169,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,179500,7802,,
69,County Catalog: High Valley Jason Aldean + More,Music,Jason Aldean ,,jasonaldean,,3362309,,104095,nan,,,,Jason Aldean,40153,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,55600,3368,,
70,Performance Royalties: Paul Brandt Jason Aldean,Music,Paul Brandt ,Jason Aldean ,imalbertabound,jasonaldean,42874,3362555,1390,104104,,,,Paul Brandt,93,Jason Aldean,40212,https://www.youtube.com/user/TheJasonAldean,,1838910586,20650,24383,,
71,Streaming-Dominant Hip-Hop,Music,JID ,J Cole ,jidsv,realcoleworld,1203804,7115714,170450,728492,,,,JID,166986,J Cole,2354234,https://www.youtube.com/user/jcolemusic,,2248720440,90000,14181,,
