,Title,Auction Type,Artist Name #1,Artist Name #2,Instagram Page,Instagram Page 2,Instagram Followers,Instagram Followers 2,Avg Likes,Avg Likes2,Spotify Monthly Listeners #1,Spotify Page #2,Spotify Monthly Listeners #2,SoundCloud Page,SoundCloud Followers,SoundCloud Page #2,SoundCloud Followers #2,YouTube Page,YouTube Subscribers,YouTube Total Views,Price,12 Month Royalties,,
220,Publishing: Pop With Global Reach,Music,Mike Perry ,,platinummikeperry,,604943,nan,9371,nan,,,,Mike Perry,32920,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,33000,5611,,
221,Grammy-Winner Drake’s “Fire & Desire”,Music,Drake ,,champagnepapi,,84424519,nan,1248207,nan,,,,Drake,2756385,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,100800,6049,,
222,Streaming Driven Wale “Let It Go” and More,Music,Driven Wale ,,,,,nan,nan,nan,,,,Driven Wale,322,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,8450,4138,,
223,Sound Recording Royalties: Folk Artist Amos Lee,Music,Amos Lee ,,am0slee,,116013,nan,3855,nan,,,,Amos Lee,6581,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,28700,31261,,
224,Chris Brown's Platinum “Grass Ain't Greener”,Music,Chris Brown ,,chrisbrownofficial,,85819953,nan,167690,nan,,,,Chris Brown,6278177,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,29600,7299,,
225,Pop From Around The Globe,Music,Zara Larsson ,,zaralarsson,,6468133,nan,117727,nan,,,,Zara Larsson,65905,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,30500,4031,,
226,Publishing Royalties: Streaming Driven Hip-Hop,Music,Wiz Khalifa ,Ty Dolla $ign ,wizkhalifa,tydollasign,32860750,5604172,393679,60912,,,,Wiz Khalifa,1201204,Ty Dolla $ign,414642,https://www.youtube.com/user/tydollasign,,1506432610,9400,3499,,
227,"More Cardi B Hits Including “Bodak Yellow""",Music,Cardi B ,,iamcardib,,97947909,nan,4341855,nan,,,,Cardi B,667492,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,138000,1081,,
228,Growing Royalties from Migos’“Fight Night”,Music,Migos ,,migos,,11837056,nan,69868,nan,,,,Migos,1252091,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,39100,29730,,
229,No. 1 Country Hit: “Til My Last Day”,Music,Justin Moore ,,justincolemoore,,719100,nan,10113,nan,,,,Justin Moore,7357,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,40800,38486,,
230,Consistent Smooth Jazz Royalties,Music,Boney James,,boneyjames01,,34254,nan,824,nan,,,,Boney James,978,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,23600,1671,,
231,10-Year-Old Consistent Rock from Evans Blue,Music,Evans Blue ,,,,,nan,nan,nan,,,,Evans Blue,574,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,6900,11759,,
232,Rising EDM From BONNIE X CLYDE,Music,Bonnie ,Clyde ,,,,nan,nan,nan,,,,Bonnie,62915,Clyde,3347,https://www.youtube.com/channel/UCp27rgjHZFkIsu3hh_kxqXg,,3917842,105000,1873,,
233,Global Pop + Music From Disney’s “Descendants”,Music,Milow ,,milowofficial,,74564,nan,1651,nan,,,,Milow,2016,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,77000,15532,,
234,Contemporary Christian & Gospel Collection,Music,Kenny Lewis ,Lonnie Hunter ,,,,nan,nan,nan,,,,Kenny Lewis,6,Lonnie Hunter,2,https://www.youtube.com/user/LonnieHunterVEVO,,103262,5050,7408,,
235,International Pop & Hip-Hop Catalog,Music,Exo ,,weareone.exo,,9263571,nan,726272,nan,,,,Exo,12073,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,37200,4732,,
236,Streaming-Driven Hip-Hop Collection,Music,Chief Keef ,Trippie Redd ,,trippieredd,,12397592,nan,857832,,,,Chief Keef,451771,Trippie Redd,1555384,https://www.youtube.com/channel/UCstw-41J8syXgdJ8xWvaizA,,1169899659,5900,7228,,
237,Established Electronic Catalog Featuring Minnesota,Music,"DJ Minnesota
",,,,,nan,nan,nan,,,,DJ Minnesota,1647,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,97000,3891,,
238,R&B Single “Saved” From Khalid,Music,Khalid ,,thegr8khalid,,7404731,nan,310185,nan,,,,Khalid,420512,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,19600,7208,,
239,Global Electronic: David Guetta Skrillex & More,Music,David Guetta,Skrillex ,davidguetta,skrillex,8799138,9333386,47868,224896,,,,David Guetta,2383066,Skrillex,6488650,https://www.youtube.com/user/TheOfficialSkrillex,,5923892585,18500,8389,,
240,14-Year-Old Award-Winning Hip-Hop,Music,50 Cent ,,50cent,,26732997,nan,225566,nan,,,,50 Cent,1778908,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,40200,1855,,
241,Indie Folk Single: “Letting In”,Music,Beauville ,,,,,nan,nan,nan,,,,Beauville,2605,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,13800,55556,,
242,Hip-Hop Catalog Featuring Max P.,Music,Max P.,,bigguccipapaslim,,134245,nan,6780,nan,,,,Max P.,9403,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,26500,5989,,
243,Billboard Charting Dance/Pop Catalog,Music,Sam F ,,,,,nan,nan,nan,,,,Sam F,39926,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,31800,10585,,
244,Growing Mechanicals From Migos & More,Music,Migos ,,migos,,11837064,nan,69870,nan,,,,Migos,1252092,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,7100,4591,,
245,Viral Hip-Hop Catalog: Bella Thorne Hoodie Allen + More,Music,Bella Thorne ,Hoodie Allen   ,bellathorne,,24522694,nan,503516,nan,,,,Bella Thorne,3340,Hoodie Allen,224583,https://www.youtube.com/user/wearehoodie,,221922734,125000,15773,,
246,Hip-Hop Release: Lil Donald's “Do Better”,Music,Lil Donald,,lildonald,,224013,nan,1880,nan,,,,Lil Donald,24785,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,31500,1703,,
247,International Funk & Dance Music,Music,cerrone,,cowboycerrone,,2284389,nan,16561,nan,,,,cerrone,7662,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,17600,1271,,
248,Hip-Hop Catalog Driven By Streaming,Music,Wiz Khalifa ,Ty Dolla $ign ,wizkhalifa,tydollasign,32860759,5604173,393680,60912,,,,Wiz Khalifa,1201204,Ty Dolla $ign,414642,https://www.youtube.com/user/tydollasign,,1506432610,24000,3943,,
249,Pop Collection With Positive Growth,Music,Demi Lovato ,,ddlovato,,108561984,nan,295377,nan,,,,Demi Lovato,115069,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,13500,33126,,
250,Iconic Hip-Hop Featuring Tupac & Drake,Music,Tupac ,Drake ,,champagnepapi,,84493015,nan,1249683,,,,Tupac,330258,Drake,2756621,https://www.youtube.com/user/DrakeOfficial,,10139151619,61000,2912,,
251,Publishing From R&B Single “Cookie”,Music,R. Kelly ,,rkelly,,1376797,nan,80600,nan,,,,R. Kelly,4514369,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,11550,8029,,
252,Pop & Hip-Hop With International Influence,Music,Kendrik Lamar ,,kendricklamar,,9362236,nan,524267,nan,,,,Kendrik Lamar,85,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,6100,1424,,
253,R&B Catalog Featuring Recent Releases,Music,Chris Brown ,,chrisbrownofficial,,85820745,nan,167697,nan,,,,Chris Brown,6278176,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,17300,8289,,
254,Sales & Streaming: R&B Catalog,Music,Chrishan ,,princechrishan,,104138,nan,2756,nan,,,,Chrishan,10604,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,115000,8118,,
255,Recent Release: Streaming-Driven Hip-Hop,Music,Chiris Brown ,,chrisbrownofficial,,85820759,nan,167697,nan,,,,,,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,14100,729,,
256,Southern Hip-Hop: Crime Mob,Music,Lil' Scrappy,,,,,nan,nan,nan,,,,Lil' Scrappy,2321,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,34800,5459,,
257,"Hit From Dr. Dre’s Multi-Platinum Album ""2001""",Music,Dr.Dre,,drdre,,5735851,nan,631475,nan,,,,Dr.Dre,68300,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,18850,3372,,
258,Music Featured In Popular Nickelodeon TV Series,Music,Ariana Grande,,arianagrande,,247408145,nan,5245068,nan,,,,Ariana Grande,663467,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,41000,1480,,
259,International Pop Featuring Australian Artists,Music,Sheppard ,Betty Who ,wearesheppard,bettywho,62932,159693,996,7907,,,,Sheppard,4651,Betty Who,15279,https://www.youtube.com/user/bettywhomusic,,35437917,23200,4725,,
260,Catalog Featuring Grammy-Winning EDM Artists,Music,Zedd,Diplo ,zedd,diplo,6358985,5768247,31512,85336,,,,Zedd,4259854,Diplo,7102798,https://www.youtube.com/user/diplo1978,,967661106,9100,95638,,
261,2X Platinum Hip-Hop Publishing Royalties,Music,Rob $tone ,J. Davis ,youngrobstone,,212750,nan,1826,nan,,,,Rob $tone,102748,J. Davis,1321,https://www.youtube.com/channel/UCU03Jfl0xOL8zOmrodK_-6A,,2,15000,1550,,
262,17-Year-Old Platinum Hip-Hop,Music,TobyMac ,,tobymac,,1175690,nan,19391,nan,,,,TobyMac,9125,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,20800,154524,,
263,2X Platinum Hip-Hop Track “Chill Bill”,Music,Rob $tone ,J. Davis ,youngrobstone,,212750,nan,1826,nan,,,,Rob $tone,102748,J. Davis,1321,https://www.youtube.com/channel/UCU03Jfl0xOL8zOmrodK_-6A,,2,7000,9041,,
264,Publishing Royalties: R&B From Trey Songz,Music,Trey Songz ,,treysongz,,12758242,nan,135314,nan,,,,Trey Songz,139113,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,21900,893,,
265,Catalog Featuring Hot R&B Artist Tank,Music,Chris Brown ,Busta Rhymes ,chrisbrownofficial,bustarhymes,85820802,3572276,167697,28594,,,,Chris Brown,6278176,Busta Rhymes,27226,https://www.youtube.com/channel/UCCWKLP04ZkaVpxb6l5BKZOw,,828348677,436500,5513,,
266,Diverse Hip-Hop & Pop Collection,Music,Beyonce ,Justin Beiber ,beyonce,justinbieber,189401760,180570885,3000437,1641911,,,,Beyonce,1770749,Justin Beiber,1599,https://www.youtube.com/user/kidrauhl,,25283670597,6350,15435,,
267,Multi-Platinum Hip-Hop Collection,Music,Meek Mill ,Bobby Shmurda ,meekmill,,21523154,nan,172235,nan,,,,Meek Mill,510730,Bobby Shmurda,84476,https://www.youtube.com/channel/UCr7Z6D0IZXAIRID7hyqu_FA,,1024,900000,6413,,
268,Cherry Garcia Ice Cream Royalties,Product ,,,,,,nan,nan,nan,,,,,937,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,69500,27732,,
269,Growing Alternative Rock Catalog: Have Mercy,Music,Have Mercy ,,,,,nan,nan,nan,,,,Have Mercy,840,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,5200,21058,,
270,Publishing Royalties: 80s-90s Hip-Hop/Electronica,Music,Liam Howlett ,,,,,nan,nan,nan,,,,Liam Howlett,408,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,27000,10370,,
271,Disney’s Descendants Soundtrack & More,Music,Dove Cameron ,,dovecameron,,43410103,nan,1074094,nan,,,,Dove Cameron,17912,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,58000,2917,,
272,Consistent Pop & Hip-Hop Catalog,Music,Ariana Grande,Nipsey Hussle ,arianagrande,,247408501,nan,5245076,nan,,,,Ariana Grande,663467,Nipsey Hussle,255893,https://www.youtube.com/channel/UCm1s2VS9BdyXL9FU4a-W_cQ,,1263740191,55600,10736,,
273,Rising Hip-Hop Collection,Music,KT Foreign,,kt_foreign,,15572,nan,1229,nan,,,,KT Foreign,2476,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,106000,4225,,
274,European Hip-Hop Catalog,Music,Kartellen,,,,,nan,nan,nan,,,,Kartellen,574,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,104250,9804,,
275,Hit Tracks from Disney’s Descendants,Music,Dove Cameron ,,dovecameron,,43410106,nan,1074095,nan,,,,Dove Cameron,17912,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,53000,4094,,
276,4X Platinum “Bottoms Up”,Music,Trey Songz ,Niki Minaj,treysongz,nickiminaj,12758244,144017721,135314,2867784,,,,Trey Songz,139113,Niki Minaj,2771,https://www.youtube.com/user/NickiMinajTelevision,,8411073936,29100,47186,,
277,Streaming-Driven Hip-Hop: Rich Homie Quan,Music,Rich Homie Quan ,,richhomiequan,,3156533,nan,59830,nan,,,,Rich Homie Quan,121902,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,40000,10722,,
278,80s-90s Hip-Hop/Electronic Featuring The Prodigy,Music,The Prodigy ,,theprodigyofficial,,416582,nan,38082,nan,,,,The Prodigy,340631,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,21500,27000,,
279,Publishing For International Pop Catalog,Music,Tohoshinki,,tvxq.official,,753491,nan,105622,nan,,,,Tohoshinki,35,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,74000,28280,,
280,Sound Recording Royalties: Alternative Metal,Music,Outline in Color ,,outlineincolor,,28325,nan,448,nan,,,,Outline in Color,2175,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,31100,35013,,
281,Gospel Sound Recording Royalties,Catalog ,,,,,,nan,nan,nan,,,,,937,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,348000,26806,,
282,"Grammy-Winner Drake's ""KMT"" and More",Music,Drake ,,champagnepapi,,84425544,nan,1248220,nan,,,,Drake,2756385,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,38000,45397,,
283,Hip-Hop Hits Featuring Chris Brown & More,Music,Chris Brown ,,chrisbrownofficial,,85820920,nan,167699,nan,,,,Chris Brown,6278176,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,29500,5899,,
284,Hip-Hop Superstars: Cardi B Wiz Khalifa + More,Music,Cardi B ,Wiz Khalifa ,iamcardib,wizkhalifa,97949792,32870115,4344776,334584,,,,Cardi B,667492,Wiz Khalifa,1201281,https://www.youtube.com/user/taylorgangent,,11421351747,85000,22698,,
285,Consistent Hip-Hop Earnings From J. Cole,Music,J. Cole ,,realcoleworld,,7114053,nan,728369,nan,,,,J. Cole,2354019,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,162000,18675,,
286,Publishing Royalties: Cage The Elephant,Music,Cage the Elephant ,,cagetheelephant,,613889,nan,31111,nan,,,,Cage the Elephant,87507,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,224000,22698,,
287,Multi-Platinum Rock Band: Live - [3 of 3],Music,,,,,,nan,nan,nan,,,,,937,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,352000,46714,,
288,Multiple Royalty Streams: K-Pop Collection,Music,Oh My Girl ,,,,,nan,nan,nan,,,,Oh My Girl,375,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,22300,199251,,
289,Multi-Platinum Rock Band: Live - [2 of 3],Music,,,,,,nan,nan,nan,,,,,937,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,172000,1529,,
290,Grammy-Winning Cardi B & More,Music,Cardi B ,,iamcardib,,97949790,nan,4344859,nan,,,,Cardi B,667492,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,57000,4635,,
291,Multi-Platinum Rock Band: Live [1 of 3],Music,,,,,,nan,nan,nan,,,,,937,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,188000,12389,,
292,Grammy-Winning Band: Cage The Elephant,Music,Cage the elephant ,,cagetheelephant,,613889,nan,31111,nan,,,,Cage the elephant,87507,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,411000,27782,,
293,Streaming Driven Up-And-Coming Hip-Hop,Music,ybn nahmir ,,ybnnahmir,,3796963,nan,127420,nan,,,,ybn nahmir,348380,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,65000,40555,,
294,Trademark Royalties: Children’s Educational Materials,Catalog ,,,,,,nan,nan,nan,,,,,937,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,1047500,7493,,
295,International Pop Hip-Hop & R&B Collection,Music,New Jack Swing ,,,,,nan,nan,nan,,,,New Jack Swing,12,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,7050,15860,,
296,"""Hail Mary"" 2Pac Outlawz Eminem & More",Music,2Pac,Eminem ,,eminem,,32112222,nan,545023,,,,2Pac,330259,Eminem,1013411,https://www.youtube.com/user/EminemMusic,,20049030406,28500,1225,,
297,Global Pop Collection,Music,David Bisbal ,,davidbisbal,,4240422,nan,44890,nan,,,,David Bisbal,6005,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,70000,4207,,
298,No. 1 Country & Christian Hits,Music,Cole Swindell,,coleswindell,,1412878,nan,21290,nan,,,,Cole Swindell,20018,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,76100,7826,,
299,Pop & Hip-Hop Publishing Royalties,Music,Robin Schulz ,Akon ,robin__schulz,akon,575083,7558379,5790,49074,,,,Robin Schulz,438321,Akon,141927,https://www.youtube.com/user/Akon,,4438241729,104000,24634,,
300,Contemporary Christian and Soft-Rock Hits,Music,Matt Maher,Paul Moak,mattmahermusic,,112719,nan,2022,nan,,,,Matt Maher,6561,Paul Moak,5,https://www.youtube.com/user/PaulMoakSubaru,,92984,31750,7988,,
301,2x Platinum Hit From A$AP Ferg,Music,A$AP Ferg,,asapferg,,4122239,nan,52576,nan,,,,A$AP Ferg,1197480,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,107500,1113,,
302,Iconic Hip-Hop From Jay-Z,Music, Jay-Z,,,,,nan,nan,nan,,,,Jay-Z,40101,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,18900,1786,,
303,Growing Streaming for Contemporary EDM,Music,Illenium,Zeds Dead,illenium,zedsdead,651984,415190,37013,4447,,,,Illenium,541487,Zeds Dead,6011717,https://www.youtube.com/user/ZedsDeadOfficial,,66640763,16600,43904,,
304,Consistent Early 2000s Hip-Hop Royalties,Music, Lil’ Mo,Fabolous,thelilmoshow,myfabolouslife,1071639,8241734,10484,52740,,,,Lil’ Mo,1352,Fabolous,152500,https://www.youtube.com/user/MyFabolousLife,,508254561,37250,4652,,
305,Legendary Pop: Justin Timberlake Beyoncé & Jay-Z,Music, Justin Timberlake,Beyoncé,justintimberlake,beyonce,60666729,189590954,360408,3001810,,,,Justin Timberlake,7832561,Beyoncé,1770809,https://www.youtube.com/user/beyonce,,14086759867,113400,17982,,
306,Film Royalties: Classic Comedy “Trading Places”,Music,Dan Aykroyd ,Eddie Murphy,therealdanaykroyd,,48221,nan,4244,nan,,,,Dan Aykroyd,14,Eddie Murphy,447,https://www.youtube.com/user/EddieMurphyMusic,,111015712,140300,1475,,
307,Hip-Hop/R&B Driven By Streaming,Music Film,Blackbear,Bas,blvckbear.idfc,,69,nan,9,nan,,,,Blackbear,508901,Bas,114337,https://www.youtube.com/user/SuperMookinFiends,,163192408,4750,13842,,
308,Streaming-Driven Hip-Hop,Music,,,,,,nan,nan,nan,,,,,938,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,16400,6049,,
309,2x Platinum Hit From Kevin Gates,Music,"Juicy J,",ASAP Rocky,,asaprocky,,13429502,nan,1278824,,,,"Juicy J,",1170997,ASAP Rocky,3343588,https://www.youtube.com/user/ASAPROCKYUPTOWN,,2297474116,179500,1512,,
310,Contemporary R&B Single Khalid “Saved”,Music,Khalid,Adina Howard ,thegr8khalid,therealadinahoward,7404730,68581,310187,2160,,,,Khalid,420578,Adina Howard,1541,https://www.youtube.com/user/ahowardbiz,,11554937,20750,3310,,
311,Global Hip-Hop Pop and R&B,Music,,,,,,nan,nan,nan,,,,,938,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,61000,13163,,
312,R&B From Whitney Houston & Keyshia Cole,Music,Whitney Houston,Keyshia Cole,,keyshiacole,,6696789,nan,148196,,,,Whitney Houston,22932,Keyshia Cole,30922,https://www.youtube.com/user/keyshiacole,,1144546743,11900,11491,,
313,Brand New Hip-Hop Earnings,Music,Blackbear,,blvckbear.idfc,,69,nan,9,nan,,,,Blackbear,508901,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,37100,14112,,
314,Legendary 90s Hip-Hop: 2Pac & Outlawz,Music,2Pac,,,,,nan,nan,nan,,,,2Pac,330447,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,56000,965,,
315,International Royalties: Frank Ocean Bibi Bourelly & More,Music,Frank Ocean ,Bibi Bourelly,blonded,bibibourelly,2856370,123252,nan,1895,,,,Frank Ocean,784537,Bibi Bourelly,26727,https://www.youtube.com/channel/UCrXm4IP8ItE8uqXvXQoBJGw,,12707437,7700,31263,,
316,10+ Year-Old Smooth Jazz Collection,Music,Ben Tankard,,bentankard,,74172,nan,169,nan,,,,Ben Tankard,130,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,16900,4824,,
317,20-Year Old Iconic Hip-Hop Catalog,Music,,,,,,nan,nan,nan,,,,,938,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,126750,41398,,
318,Publishing From Global Dance Hits,Music,DJ Cassidy,,djcassidy,,230857,nan,7742,nan,,,,DJ Cassidy,6131,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,59000,13180,,
319,No. 1 Christian Hip-Hop Collection,Music,Andy Mineo,Trip Lee,andymineo,triplee116,676703,337466,11213,10103,,,,Andy Mineo,47875,Trip Lee,9368,https://www.youtube.com/channel/UCVFdi02lPXFIboBDxhm1Eqg,,1661973,69400,28889,,
320,Streaming-Driven R&B Catalog,Music,Keke Wyatt,,keke_wyatt,,1611888,nan,14025,nan,,,,Keke Wyatt,3363,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,5400,1065,,
321,Publishing Royalties From Hip-Hop Legends,Music,Talib Kweli,Kanye West,talibkweli,kanyewest,1013886,5340083,3082,391351,,,,Talib Kweli,43212,Kanye West,1119089,https://www.youtube.com/user/kanyewest,,4521587562,264000,11797,,
322,Production Catalog: MTV VH1 & More,Music,,,,,,nan,nan,nan,,,,,938,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,34500,12593,,
323,Contemporary Christian & Country Collection,Music,Danielle Bradbery,,daniellebradbery,,479673,nan,10121,nan,,,,Danielle Bradbery,1334,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,102600,6781,,
324,The Notorious B.I.G. Dr. Dre & More,Music,,,,,,nan,nan,nan,,,,,938,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,86600,8132,,
325,4x Platinum Hit From Meghan Trainor & John Legend,Music,Meghan Trainor,John Legend,meghan_trainor,johnlegend,12158759,13774990,181405,147013,,,,Meghan Trainor,33636,John Legend,4901450,https://www.youtube.com/user/johnlegend,,3277776614,129000,24125,,
326,10-Year-Old Hip-Hop/Electronica,Music,M.I.A,,miamatangi,,996880,nan,13734,nan,,,,M.I.A,262540,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,5400,3042,,
327,Christian Rock From Unspoken,Music,Unspoken,,unspokenmusic,,102652,nan,765,nan,,,,Unspoken,1670,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,64000,3303,,
328,25-Year-Old #1 Dance Club Hit,Music,Livin’ Joy,Janice Robinson,,janicelovesmusic,,14563,nan,68,,,,Livin’ Joy,316,Janice Robinson,187,https://www.youtube.com/channel/UCrc46qrOtJLXwbzSE6-0HzA,,152467,64500,1588,,
329,New Hip-Hop Earnings from Streaming,Music,Chris Brown’s,,chrisbrownofficial,,85821555,nan,167705,nan,,,,Chris Brown’s,11,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,16200,2410,,
330,The Black Eyed Peas “Meet Me Halfway”,Music,The Black Eyed Peas,,bep,,873645,nan,7530,nan,,,,The Black Eyed Peas,38963,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,37600,8898,,
331,The Doobie Brothers’ “Black Water” & More,Music,The Doobie Brothers,,doobiebrothersofficial,,47673,nan,1543,nan,,,,The Doobie Brothers,2125,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,160000,7500,,
332,Streaming-Driven Hip-Hop Catalog,Music,Nicki Minaj,Yo Gotti,nickiminaj,yogotti,143896212,5548440,2864973,41257,,,,Nicki Minaj,555789,Yo Gotti,149567,https://www.youtube.com/user/yogottivideos,,1580513045,12800,31183,,
333,Catalog Featuring Electronic Artist Goldroom,Music,Goldroom,,goldroom,,32413,nan,557,nan,,,,Goldroom,137104,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,11500,3010,,
334,Grammy-Winning Hip-Hop Single + More,Music,2 Chainz,Drake,2chainz,champagnepapi,9902732,84493088,25058,1249684,,,,2 Chainz,243026,Drake,2756631,https://www.youtube.com/user/DrakeOfficial,,10139151619,8600,53671,,
335,Cardi B’s 7x Platinum “Bodak Yellow”,Music,Cardi B,,iamcardib,,97951062,nan,4346963,nan,,,,Cardi B,667699,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,110000,6767,,
336,10+ Year Old Growing Hip-Hop Catalog,Music,Hurricane Chris,,hurricanechrisofficial,,64030,nan,1336,nan,,,,Hurricane Chris,1353,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,26250,39062,,
337,International Pop & Electronic Collection,Music,Hedley,,,,,nan,nan,nan,,,,Hedley,4458,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,38450,1100,,
